jb_cat,function,location,line,description,used_by,category
core_io,read_file,utils.py,144,Environment-aware file reading that automatically handles local files vs GitHub API calls for Railway deployment,"load_all_data;get_google_sheet;check_for_duplicate_data;execute_data_deletion;load_scores_data",core_data_loading
core_io,write_file,utils.py,160,Environment-aware file writing with automatic GitHub commits for Railway deployment,"execute_data_update;execute_data_deletion;update_all_data",core_data_loading
core_io,read_from_github,utils.py,91,Direct GitHub API file reading for Railway production environment,read_file,core_data_loading
core_io,write_to_github,utils.py,114,Direct GitHub API file writing with commit creation for Railway production,write_file,core_data_loading
data_update,backup_file,utils.py,176,Creates timestamped backup copies of data files before modifications,create_timestamped_backups,core_data_loading
data_update,process_round_for_all_scores,utils.py,307,Core scoring calculation engine that computes GrossVP NetVP Stableford points from raw scores and handicaps,execute_data_update,data_processing
data_update,add_cumulative_scores,utils.py,375,Calculates running cumulative scores through rounds for trend analysis,process_round_for_all_scores,data_processing
data_update,reshape_round_data,utils.py,506,Converts wide-format Google Sheets data to long format by hole,process_google_sheets_data,data_processing
data_update,check_for_complete_and_duplicate_data,utils.py,642,Validates data integrity across files and detects duplicates,1000Data update.py,file_management
data_update,update_all_data,utils.py,598,Updates master data files after new data insertion,execute_data_update,file_management
data_update,save_to_parquet,utils.py,419,Saves DataFrame to parquet format with error handling,Data processing functions,file_management
data_update,create_timestamped_backups,helpers/data_deletion_processing.py,79,Creates timestamped backup files before data deletion operations,execute_data_deletion,file_management
data_update,get_google_sheet,utils.py,431,Cached function for loading data from Google Sheets with authentication,1000Data update.py,cached_data_functions
data_update,process_google_sheets_data,helpers/data_update_processing.py,56,Processes and validates data from Google Sheets for import,1000Data update.py,specialized_processing
data_update,execute_data_update,helpers/data_update_processing.py,119,Executes complete data update workflow with backup and processing,1000Data update.py,specialized_processing
data_retrieval,aggregate_data,utils.py,819,Flexible data aggregation function supporting TEG Round Player and 9-hole level analysis,"get_complete_teg_data;get_round_data;get_9_data;get_Pl_data",data_processing
data_retrieval,load_all_data,utils.py,246,Primary cached data loading function with filtering options for TEG 50 and incomplete tournaments,"Most analysis pages;get_complete_teg_data;get_round_data;score_type_stats;get_scorecard_data",core_data_loading
data_retrieval,get_complete_teg_data,utils.py,878,Cached function returning complete TEG-level data excluding incomplete tournaments,teg_worsts.py,cached_data_functions
data_retrieval,get_round_data,utils.py,890,Cached function returning round-level aggregated data with filtering options,"ave_by_course.py;teg_worsts.py",cached_data_functions
data_retrieval,get_9_data,utils.py,896,Cached function returning 9-hole (front/back) aggregated data,teg_worsts.py,cached_data_functions
