Tournament,R,TR,DM,GW,HM,JB,SN,AB
TEG 2,1,TEG 2|1,91,111,113,103,100,
TEG 2,2,TEG 2|2,99,108,102,100,98,
TEG 2,3,TEG 2|3,89,105,91,107,92,
TEG 3,1,TEG 3|1,88,106,99,90,93,
TEG 3,2,TEG 3|2,92,102,89,97,92,
TEG 3,3,TEG 3|3,85,97,97,92,89,
TEG 3,4,TEG 3|4,91,106,95,99,94,
TEG 4,1,TEG 4|1,91,104,100,94,96,
TEG 4,2,TEG 4|2,94,107,92,105,99,
TEG 4,3,TEG 4|3,88,109,102,92,94,
TEG 4,4,TEG 4|4,91,115,96,105,94,
TEG 5,1,TEG 5|1,83,106,94,91,97,
TEG 5,2,TEG 5|2,82,98,101,93,82,
TEG 5,3,TEG 5|3,98,103,91,95,98,
TEG 5,4,TEG 5|4,94,104,89,90,96,
TEG 6,1,TEG 6|1,89,92,101,90,98,
TEG 6,2,TEG 6|2,90,105,90,94,94,
TEG 6,3,TEG 6|3,101,107,109,95,94,
TEG 6,4,TEG 6|4,94,113,107,99,100,
TEG 7,1,TEG 7|1,89,98,85,84,93,110
TEG 7,2,TEG 7|2,81,103,82,86,82,102
TEG 7,3,TEG 7|3,90,100,96,98,99,108
TEG 7,4,TEG 7|4,83,93,96,93,84,109
