TEG,Round,Hole,PAR,SI,DM,GW,JB,SN,AB,JP
TEG X,R1,1,4,14,4,5,4,6,5,5
TEG X,R1,2,3,16,4,6,3,4,7,6
TEG X,R1,3,5,8,6,6,6,9,7,7
TEG X,R1,4,3,6,4,3,4,4,4,4
TEG X,R1,5,4,12,5,7,4,4,5,5
TEG X,R1,6,3,4,3,5,5,6,4,7
TEG X,R1,7,4,10,4,5,4,4,6,5
TEG X,R1,8,5,2,5,5,6,6,9,10
TEG X,R1,9,4,18,5,5,4,5,5,4
TEG X,R1,10,4,3,4,6,5,4,4,4
TEG X,R1,11,3,13,4,4,5,6,3,4
TEG X,R1,12,4,11,4,4,7,5,7,4
TEG X,R1,13,5,15,4,4,5,7,6,5
TEG X,R1,14,3,7,2,5,4,4,5,4
TEG X,R1,15,4,1,5,5,7,8,6,6
TEG X,R1,16,5,9,4,8,5,7,5,7
TEG X,R1,17,4,17,4,4,4,8,5,7
TEG X,R1,18,4,5,4,9,7,10,6,8
TEG X,R2,1,4,5,4,7,4,7,5,10
TEG X,R2,2,5,7,6,6,4,7,6,6
TEG X,R2,3,3,15,5,4,3,4,3,3
TEG X,R2,4,5,1,5,6,7,5,7,6
TEG X,R2,5,3,11,3,4,3,3,4,4
TEG X,R2,6,4,9,4,4,4,7,5,4
TEG X,R2,7,4,13,4,5,4,5,4,5
TEG X,R2,8,3,17,3,3,3,5,4,3
TEG X,R2,9,5,3,7,5,5,5,4,6
TEG X,R2,10,4,4,4,3,4,5,6,7
TEG X,R2,11,3,14,4,3,4,3,4,6
TEG X,R2,12,4,8,5,5,4,4,6,4
TEG X,R2,13,5,10,5,7,6,10,7,8
TEG X,R2,14,4,18,6,6,6,9,6,5
TEG X,R2,15,4,12,4,4,4,7,5,4
TEG X,R2,16,3,16,4,3,4,3,6,3
TEG X,R2,17,5,6,6,6,7,6,6,7
TEG X,R2,18,4,2,4,5,6,10,7,6
TEG X,R3,1,4,3,5,5,7,6,7,5
TEG X,R3,2,3,13,4,4,4,4,4,3
TEG X,R3,3,4,7,5,5,4,6,5,4
TEG X,R3,4,5,9,8,5,8,6,5,8
