Course,Hole,Par,SI
Ashdown,1,4,4
Ashdown,2,3,8
Ashdown,3,5,12
Ashdown,4,4,18
Ashdown,5,4,2
Ashdown,6,3,16
Ashdown,7,4,6
Ashdown,8,4,10
Ashdown,9,3,14
Ashdown,10,4,11
Ashdown,11,3,3
Ashdown,12,4,9
Ashdown,13,4,7
Ashdown,14,4,1
Ashdown,15,4,15
Ashdown,16,3,17
Ashdown,17,4,13
Ashdown,18,4,5
Bletchingley,1,4,5
Bletchingley,2,3,17
Bletchingley,3,5,11
Bletchingley,4,4,3
Bletchingley,5,4,1
Bletchingley,6,5,13
Bletchingley,7,3,7
Bletchingley,8,4,15
Bletchingley,9,5,9
Bletchingley,10,4,10
Bletchingley,11,5,4
Bletchingley,12,3,18
Bletchingley,13,4,12
Bletchingley,14,3,16
Bletchingley,15,5,6
Bletchingley,16,4,2
Bletchingley,17,3,14
Bletchingley,18,4,8
Boavista,1,4,14
Boavista,2,3,16
Boavista,3,5,8
Boavista,4,3,6
Boavista,5,4,12
Boavista,6,3,4
Boavista,7,4,10
Boavista,8,5,2
Boavista,9,4,18
Boavista,10,4,3
Boavista,11,3,13
Boavista,12,4,11
Boavista,13,5,15
Boavista,14,3,7
Boavista,15,4,1
Boavista,16,5,9
Boavista,17,4,17
Boavista,18,4,5
Bom Sucesso,1,4,9
Bom Sucesso,2,5,5
Bom Sucesso,3,3,17
Bom Sucesso,4,5,3
Bom Sucesso,5,3,15
Bom Sucesso,6,4,1
Bom Sucesso,7,5,7
Bom Sucesso,8,4,11
Bom Sucesso,9,4,13
Bom Sucesso,10,3,18
Bom Sucesso,11,4,12
Bom Sucesso,12,4,6
Bom Sucesso,13,3,16
Bom Sucesso,14,4,10
Bom Sucesso,15,4,2
Bom Sucesso,16,4,14
Bom Sucesso,17,5,4
Bom Sucesso,18,4,8
Costa Brava,1,4,7
Costa Brava,2,5,13
Costa Brava,3,3,11
Costa Brava,4,5,17
Costa Brava,5,5,3
Costa Brava,6,3,9
Costa Brava,7,4,1
Costa Brava,8,4,15
Costa Brava,9,5,5
Costa Brava,10,4,14
Costa Brava,11,4,10
Costa Brava,12,4,2
Costa Brava,13,3,16
Costa Brava,14,4,12
Costa Brava,15,5,6
Costa Brava,16,4,8
Costa Brava,17,3,18
Costa Brava,18,4,4
Crowborough,1,4,9
Crowborough,2,4,1
Crowborough,3,3,15
Crowborough,4,4,17
Crowborough,5,4,3
Crowborough,6,3,11
Crowborough,7,5,7
Crowborough,8,4,13
Crowborough,9,4,5
Crowborough,10,5,8
Crowborough,11,4,14
Crowborough,12,4,2
Crowborough,13,3,18
Crowborough,14,5,10
Crowborough,15,4,6
Crowborough,16,4,12
Crowborough,17,3,16
