TEGNum,Round,Course,Date,TEGRd,TEG,Area
2,1,Boavista,16/05/2009,TEG 2|1,TEG 2,"Algarve, Portugal"
2,2,Boavista,17/05/2009,TEG 2|2,TEG 2,"Algarve, Portugal"
2,3,Boavista,18/05/2009,TEG 2|3,TEG 2,"Algarve, Portugal"
3,1,Boavista,05/10/2010,TEG 3|1,TEG 3,"Algarve, Portugal"
3,2,Boavista,06/10/2010,TEG 3|2,TEG 3,"Algarve, Portugal"
3,3,Boavista,07/10/2010,TEG 3|3,TEG 3,"Algarve, Portugal"
3,4,Boavista,08/10/2010,TEG 3|4,TEG 3,"Algarve, Portugal"
4,1,Ashdown,29/08/2011,TEG 4|1,TEG 4,"East Sussex, England"
4,2,Lingfield,30/08/2011,TEG 4|2,TEG 4,"East Sussex, England"
4,3,Crowborough,31/08/2011,TEG 4|3,TEG 4,"East Sussex, England"
4,4,Bletchingley,01/09/2011,TEG 4|4,TEG 4,"East Sussex, England"
5,1,Boavista,03/06/2012,TEG 5|1,TEG 5,"Algarve, Portugal"
5,2,Boavista,04/06/2012,TEG 5|2,TEG 5,"Algarve, Portugal"
5,3,Boavista,05/06/2012,TEG 5|3,TEG 5,"Algarve, Portugal"
5,4,Palmares - Lagos / Praia,06/06/2012,TEG 5|4,TEG 5,"Algarve, Portugal"
6,1,PGA Catalunya - Tour,21/09/2013,TEG 6|1,TEG 6,"Catalonia, Spain"
6,2,Costa Brava,22/09/2013,TEG 6|2,TEG 6,"Catalonia, Spain"
6,3,El Prat - Rosa,23/09/2013,TEG 6|3,TEG 6,"Catalonia, Spain"
6,4,PGA Catalunya - Stadium,24/09/2013,TEG 6|4,TEG 6,"Catalonia, Spain"
7,1,Praia D'El Rey,02/10/2014,TEG 7|1,TEG 7,"Silver Coast, Portugal"
7,2,Bom Sucesso,03/10/2014,TEG 7|2,TEG 7,"Silver Coast, Portugal"
7,3,Royal Óbidos,04/10/2014,TEG 7|3,TEG 7,"Silver Coast, Portugal"
7,4,Praia D'El Rey,05/10/2014,TEG 7|4,TEG 7,"Silver Coast, Portugal"
8,1,Quinta da Marinha,25/11/2015,TEG 8|1,TEG 8,"Cascais, Portugal"
8,2,Penha Longa,26/11/2015,TEG 8|2,TEG 8,"Cascais, Portugal"
8,3,Quinta da Marinha,27/11/2015,TEG 8|3,TEG 8,"Cascais, Portugal"
8,4,Oitavos Dunes,28/11/2015,TEG 8|4,TEG 8,"Cascais, Portugal"
9,1,Royal Óbidos,30/09/2016,TEG 9|1,TEG 9,"Silver Coast, Portugal"
9,2,Praia D'El Rey,01/10/2016,TEG 9|2,TEG 9,"Silver Coast, Portugal"
9,3,Royal Óbidos,02/10/2016,TEG 9|3,TEG 9,"Silver Coast, Portugal"
9,4,Praia D'El Rey,03/10/2016,TEG 9|4,TEG 9,"Silver Coast, Portugal"
10,1,Boavista,30/09/2017,TEG 10|1,TEG 10,"Algarve, Portugal"
10,2,Palmares - Praia / Alvor,01/10/2017,TEG 10|2,TEG 10,"Algarve, Portugal"
10,3,Palmares - Alvor / Lagos,02/10/2017,TEG 10|3,TEG 10,"Algarve, Portugal"
10,4,Boavista,03/10/2017,TEG 10|4,TEG 10,"Algarve, Portugal"
