TEG,Year,Area,TEG Trophy,Green Jacket,HMM Wooden Spoon
TEG 2,2009,"Algarve, Portugal",David MULLIN,David MULLIN,Henry MELLER
TEG 3,2010,"Algarve, Portugal",Jon BAKER,David MULLIN,Henry MELLER
TEG 4,2011,"East Sussex, England",David MULLIN,David MULLIN,Gregg WILLIAMS
TEG 5,2012,"Algarve, Portugal",Gregg WILLIAMS,Stuart NEUMANN*,David MULLIN
TEG 6,2013,"Catalonia, Spain",Gregg WILLIAMS,David MULLIN,Henry MELLER
TEG 7,2014,"Lisbon Coast, Portugal",Henry MELLER,David MULLIN,Alex BAKER
TEG 8,2015,"Lisbon Coast, Portugal",Gregg WILLIAMS,David MULLIN,Stuart NEUMANN
TEG 9,2016,"Lisbon Coast, Portugal",John PATTERSON,David MULLIN,Stuart NEUMANN
TEG 10,2017,"Algarve, Portugal",Alex BAKER,David MULLIN,John PATTERSON
TEG 11,2018,"Catalonia, Spain",Jon BAKER,Jon BAKER,David MULLIN
TEG 12,2019,"Catalonia, Spain",John PATTERSON,Jon BAKER,David MULLIN
TEG 13,2020,"Kent, England",Jon BAKER,Jon BAKER,David MULLIN
TEG 14,2021,"Kent, England",David MULLIN,David MULLIN,Jon BAKER
TEG 15,2022,"Lisbon Coast, Portugal",Gregg WILLIAMS,Gregg WILLIAMS,Alex BAKER
TEG 16,2023,"Lisbon Coast, Portugal",Stuart NEUMANN,Gregg WILLIAMS,Alex BAKER
TEG 17,2024,"Lisbon Coast, Portugal",Jon BAKER,Jon BAKER,Gregg WILLIAMS
